Country,GEff,RoL,VaA,Pstab,ROW,HCI,GDP,LD,ED,PeopleAllow,Parliament,Economy,Democracy,Education,Health,CitInterest
Austria,91.83,97.12,93.6,82.86,3,799,54.53,0.76,0.85,1,41.54469323067472,46.43761866479258,48.89680150360318,13.777564098693954,100,81.29897895839073
Belgium,80.77,88.46,95.57,61.9,3,849,50.83,0.82,0.89,1,83.63636363636364,100,50.90909090909091,1.1636363636363636,57.91584415584417,20.16493506493507
Bulgaria,65.38,54.81,60.59,66.19,2,591,22.88,0.52,0.61,1.559322033898305,58.05084745762712,100,86.01694915254237,49.904610573042795,1,23.02219531880549
Switzerland,99.52,99.04,97.05,94.76,2,893,70.38,0.86,0.9,1,57.9185433238824,30.529674939689,50.90496721119614,46.41220397203232,100,71.94569554925495
Cyprus,78.85,76.44,82.27,63.33,3,635,40.18,0.76,0.86,1.6220825852782765,73.33931777378815,73.33931777378815,64.45242369838421,100,1,64.45242369838421
Czechia,78.37,81.73,77.83,80.48,3,731,41.12,0.71,0.81,100,42.06860963434379,52.295272375562156,34.2068706125647,1,59.53063308076112,42.06860963434379
Germany,93.27,92.31,95.07,66.67,3,785,55.06,0.83,0.88,1,63.11065555164476,14.411175483082078,49.458858207851605,14.411175483082078,100,35.80706086405846
Denmark,99.04,98.08,98.52,83.81,3,855,57.57,0.89,0.91,100,50.99009900990099,75.4950495049505,50.99009900990099,1.147029702970297,75.4950495049505,1
Estonia,85.58,87.02,88.67,68.1,3,729,36.14,0.85,0.9,1,62.727074819274115,41.86532415678849,42.37617385864327,24.84383062421786,100,20.822944095836544
Spain,79.81,80.29,82.76,59.05,3,698,41.61,0.79,0.86,1,39.08708442474312,72.07334273624825,100,82.03828329639335,1.1396332863187588,100
Finland,98.56,100,99.01,79.05,3,839,49.336,0.84,0.88,1,70.59234621837518,60.05160202988145,100,63.50755883864126,93.65413241831801,29.644740497267616
France,89.42,89.42,87.68,58.57,3,796,48.261,0.8,0.88,1,17.00523290070947,100,50.95217578427087,1.0669536834672675,1.0669536834672675,17.00523290070947
United Kingdom,90.38,91.35,90.64,63.81,3,728,47.43,0.81,0.87,1,39.63339114146394,42.06860963434379,55.912952728161635,51.723841361953156,100,34.2068706125647
Croatia,67.31,64.9,64.04,71.9,2,644,28.32,0.62,0.73,1,56.366358784049616,100,67.27476908803723,95.48680862827689,70.78426878752246,78.1831793920248
Hungary,70.19,68.27,54.68,71.43,1,565,31.81,0.39,0.49,1.294059405940594,1,50.99009900990099,50.99009900990099,1,1.392079207920792,100
Ireland,86.54,88.94,94.58,82.38,3,669,86.44,0.81,0.88,1,53.74234451660194,42.06860963434379,40.71869524724378,100,88.41372192686877,60.25416915128102
Iceland,92.31,95.19,94.09,99.52,3,797,58.22,0.8,0.88,1,59.12524580736334,35.4742693434514,59.12524580736334,99.99999999999999,87.6192043113779,87.6192043113779
Italy,69.23,61.54,79.8,60.95,3,687,43.17,0.79,0.87,8.071428571428571,64.64285714285714,100,50.5,1,36.357142857142854,1
Lithuania,81.25,81.25,81.77,72.24,2,622,36.24,0.76,0.82,9.25,58.75,100,67,17.5,1,1
Latvia,83.65,80.77,74.38,60,3,605,30.55,0.75,0.83,75.04357872321987,30.64867423958333,80.39562584917358,50.98906462293395,1,100,70.59343877376037
Montenegro,58.65,57.21,46.31,47.62,1,668,21.21,0.35,0.45,1,100,50.780195048762195,71.24302148172175,35.81760951217531,68.63663614383319,11.651754830599534
Netherlands,96.63,96.15,97.54,75.71,3,883,57.85,0.83,0.88,1.483248651170185,17.070356971345674,100,75.4953312377126,1.3614603812317068,1,22.30723317629786
Norway,97.6,99.52,100,92.38,3,857,64.71,0.85,0.89,1,69.36816538933373,30.64867423958333,50.98906462293395,100,30.64867423958333,50.98906462293395
Poland,73.08,66.35,70.94,64.28,2,585,32.53,0.55,0.69,1,50.915495167307114,50.915495167307114,30.544572180646078,44.43880496072018,100,69.32218447956696
Portugal,84.13,84.62,89.16,90.95,3,754,34.83,0.84,0.89,1,59.010949879627354,70.44040374491097,81.86985761019456,35.29383943276677,100,81.86985761019456
Serbia,53.37,50,45.71,45.24,1,699,17.84,0.27,0.35,1,71.93721983255097,100,71.93721983255097,66.38740116660799,98.1620560342991,57.905829748826456
Sweden,97.12,71.15,99.51,86.67,3,800,54.13,0.88,0.91,1,72.76521245462241,45.81491612849058,62.61401573267431,100,100,37.236023927804055
Slovenia,82.21,84.13,80.79,73.81,3,678,39.07,0.77,0.84,1,50.93022672254058,80.37209068901623,60.74418137803247,41.677467790773584,63.901568197413496,100.00000000000001
Slovakia,74.04,71.15,75.37,72.38,2,722,32.86,0.7,0.81,1,100,50.85812160249712,50.85812160249712,49.01068542500792,30.463387588828716,50.85812160249712
