"PeopleAllow";"Parliament";"Economy";"Democracy";"Education";"Health";"CitInterest";"group"
2,95;5,82;4,57;6,03;3,02;2,56;5,06;"FL"
4,73;7,84;5,56;7,87;4,57;4,2;6,54;"L"
4,8;6,23;5,59;7,73;3,85;3,39;5,63;"C"
3,81;7,52;5,07;7,85;6,02;5,19;5,78;"R"
1,47;3,12;4,64;6,43;4,28;2,83;3,84;"FR"
5,68;7,58;6,67;10,43;3,05;3,46;7,42;"Very"
3,68;6,92;6,31;8,25;4,85;4;5,63;"Quite"
3,27;6,37;6,07;8,77;4,71;3,95;5,66;"Hardly"
1,81;3,48;4,87;6,65;4,45;3,39;4,08;"Not"
3,98;4,52;5,05;6,33;2,97;2,28;5,13;"0-30"
5,22;7,78;6,1;7,43;4,45;3,29;6,26;"30-60"
3,16;6,25;6,51;9,17;4,32;3,94;3,75;"60-90"
3,85;7,99;6,06;9,44;4,96;4,4;7,49;"90+"
