"PeopleAllow";"Parliament";"Economy";"Democracy";"Education";"Health";"CitInterest";"group"
169,62;950,94;1210,29;1181,47;1037,39;1210,29;902,91;"FL"
2376,04;1932,16;3316,01;2898,24;422,64;893,31;1644,95;"L"
6813,62;9084,82;9652,63;7381,42;7097,52;9084,82;7665,32;"C"
2284,65;1864,28;3107,13;2412,59;1681,5;2229,82;2467,42;"R"
91;349,83;353,36;261,49;123,68;353,36;346,3;"FR"
403,43;2647,59;2832,97;1603,17;3655,44;2558,81;3799,05;"Very"
2571,87;9084,82;9084,82;7026,54;7097,52;8658,97;2780,75;"Quite"
2611,03;9056,43;8658,97;6146,45;6529,72;8517,02;7274,96;"Hardly"
206,72;300,36;672,38;854,88;662,78;432,25;167,85;"Not"
2284,65;3838,22;3107,13;2467,42;2467,42;3655,44;2650,2;"0-30"
6813,62;9084,82;10220,43;7665,32;7381,42;9652,63;7665,32;"30-60"
141,35;614,75;864,49;576,33;576,33;749,22;353,36;"60-90"
7097,52;9084,82;9652,63;7097,52;7097,52;5678,02;3690,71;"90+"
