Country,GEff,RoL,VaA,Pstab,ROW
Austria,91.83,97.12,93.6,82.86,3
Belgium,80.77,88.46,95.57,61.9,3
Bulgaria,65.38,54.81,60.59,66.19,2
Switzerland,99.52,99.04,97.05,94.76,2
Cyprus,78.85,76.44,82.27,63.33,3
Czechia,78.37,81.73,77.83,80.48,3
Germany,93.27,92.31,95.07,66.67,3
Denmark,99.04,98.08,98.52,83.81,3
Estonia,85.58,87.02,88.67,68.1,3
Spain,79.81,80.29,82.76,59.05,3
Finland,98.56,100,99.01,79.05,3
France,89.42,89.42,87.68,58.57,3
United Kingdom,90.38,91.35,90.64,63.81,3
Croatia,67.31,64.9,64.04,71.9,2
Hungary,70.19,68.27,54.68,71.43,1
Ireland,86.54,88.94,94.58,82.38,3
Iceland,92.31,95.19,94.09,99.52,3
Italy,69.23,61.54,79.8,60.95,3
Lithuania,81.25,81.25,81.77,72.24,2
Latvia,83.65,80.77,74.38,60,3
Montenegro,58.65,57.21,46.31,47.62,1
Netherlands,96.63,96.15,97.54,75.71,3
Norway,97.6,99.52,100,92.38,3
Poland,73.08,66.35,70.94,64.28,2
Portugal,84.13,84.62,89.16,90.95,3
Serbia,53.37,50,45.71,45.24,1
Sweden,97.12,71.15,99.51,86.67,3
Slovenia,82.21,84.13,80.79,73.81,3
Slovakia,74.04,71.15,75.37,72.38,2
